,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
2005,580518585,11947318,1198106,12594971,15880037,206909173,159161311,21918145,19512363,64635030,65732078,343749,544659,141645
2006,573523228,11436144,1306598,11237452,14742905,205256521,153153424,21067512,19636329,66478156,68151355,359031,553092,144709
2007,585809556,11505400,1205667,12859619,15717187,210499185,152918098,22235362,20577863,68181315,69021939,354694,584346,148881
2008,585889535,11801010,1227594,12765053,14364615,208180351,152277005,25158383,21961356,68391774,68546420,372615,661160,182199
2009,561919186,10755898,1240802,12273713,14394630,201040811,134946632,24894402,20933040,71385385,68827202,401888,662858,161925
2010,562314691,11363163,1224576,12440004,14175305,200552215,136529853,24396973,20381421,72622676,67424743,405482,636355,161925
2011,581994973,11418398,1237564,12132614,14241212,205340939,139916808,25019515,20769790,86070323,64678692,425336,645474,98308
2012,570111356,11403859,1269392,11259962,13702661,200745492,141164528,24837836,21058688,76979097,66393783,455004,742747,98307
2013,584330419,11844419,1323276,11319154,12384037,209186113,146296615,26124120,23314245,76480762,64741026,448558,769787,98307
2014,582246498,11820250,1447991,10987050,13120473,201998928,146278906,26723475,23876847,80410494,64214541,433686,776919,157598
2015,574388760,11691699,1030757,11266513,14143942,195998414,140005750,25856238,23550810,82261919,67237781,447879,739643,157415
2016,582802169,12582967,1300684,10159853,13868463,209636523,139479292,27199343,24999265,79122093,64061101,446998,742525,187795
2017,587335716,11362638,1465599,10435749,13307886,207422012,140155762,26396939,25557689,81488725,68391186,484818,676884,189829
2018,592882889,11414177,1468453,10917097,13953747,209598893,144844851,26184475,24199226,79344473,69609001,477850,676280,194366
2019,588329205,11595711,1519287,10673838,14062111,209646758,143105806,25994966,24173254,78724619,67434329,467636,738760,192222
2020,578956349,11242488,1525486,10290085,13577280,205199978,141359283,25872981,24412785,82186670,61878800,532078,683973,194462
2021,583895729,9283116,1564861,10437295,13388427,210746556,140556156,25411885,25088796,80467925,65469121,571511,715290,194790
2022,591880909,9022750,1588309,10945548,14559656,215315780,142593491,27456329,25142707,80888475,62892772,570817,713741,190534
2023,591252076,10018826,1718074,11662773,16020108,208535960,140906397,25238947,25537486,82925052,67251621,559643,683093,194096
